code departement,CCMUC,DECUC_Q2,BREV,PACT,PPAT,PPEN,TP60
04,2150,18682,28.8,59.5,16.8,33.6,19.1
26,3325,18550,28.8,65.6,12.9,31.5,19.5
64,9124,19002,28.8,63.6,11.5,34.8,19
07,1017,18516,28.9,60.7,10.6,35.2,19
60,1039,18348,28.9,75,5.2,26.4,19.2
76,1042,17554,28.9,70.3,3.4,28.5,18.2
06,33526,19244,28.9,69.5,13.1,30,20.8
69,1129,18516,29,73.4,6.6,26.1,19.1
93,3356,18940,29,83.7,4.8,20,20.2
82,7246,18682,29,66.9,10.8,31,19.6
83,886,17992,29.1,62.9,8.4,35.1,19.8
59,1650,17740,29.1,71.1,7.3,27.2,19.4
38,3252,18258,29.1,71.8,9.3,26.5,19.3
59,7426,19396,29.1,77.9,9.5,22.6,19.1
62,1103,17312,29.2,69.1,5.6,29.7,19.8
57,1694,18512,29.2,64.6,9.2,34.7,20
95,1880,19042,29.2,84.2,5,19.1,21.2
51,5722,18222,29.2,70.1,8,30.1,20.8
22,5731,18408,29.2,64.5,9.6,34.1,19.8
68,5860,18592,29.2,72.3,9.9,28.1,20.1
49,20484,18856,29.2,69.5,9.5,29.5,19.9
01,572,17932,29.4,65.3,11,32,19.3
81,1099,17688,29.4,62.7,9.6,34.4,19.8
73,1464,17888,29.4,64.9,11.1,31.6,18.7
39,2522,18620,29.4,61.8,9.6,36.4,19.6
74,2668,20574,29.4,82.3,7.5,18.9,20.7
94,4935,19328,29.4,83,7,21.1,20.8
36,6109,18374,29.4,62.7,9.4,35.6,20.1
69,16094,18844,29.4,77.8,7.8,22.8,19.6
13,899,17204,29.5,69.7,8.2,26.4,18.8
77,1823,18618,29.5,86.2,4.7,17,19.6
94,4213,19572,29.5,87.4,6.2,17.5,22
14,607,17590,29.6,65.3,11.1,32,19.7
38,735,17632,29.6,59.8,11.4,35.2,19.3
74,747,22714,29.6,81,8.2,20,22.6
50,821,17442,29.7,62.1,8.8,34.4,18.8
27,1052,18190,29.7,61.1,9.7,35.9,20.3
38,3101,18673,29.7,70.2,11.2,27.7,20.5
94,4423,18778,29.7,84.2,5.6,19.7,21.2
67,927,17702,29.8,72.7,6.9,26.1,18.9
62,968,17542,29.8,67.9,8.7,29.7,21.2
76,1166,18698,29.8,69.4,4.8,30.5,18.6
38,1568,17882,29.8,89.3,4.3,10.9,16.9
09,629,18034,29.9,54.5,10.6,41.4,20
39,2007,18140,30,60,10.3,37.3,20.5
42,3048,17574,30,64.6,9.3,32.3,19.4
86,5102,18006,30,58.8,10,38.1,20.8
59,444,16726,30.1,67.9,4,31.5,19.3
76,17284,19632,30.1,76.3,9.1,25.1,21.6
78,1980,18220,30.2,75.5,5.6,25.9,19.7
63,16563,18584,30.2,70.5,10.5,28.3,21.4
27,2596,18702,30.3,71.9,8.3,28.7,20.9
91,2234,17714,30.4,77.4,6.9,23.7,20.4
34,3186,17814,30.4,49.6,15.2,44.6,22
17,3357,17558,30.4,58.1,9.3,38,20.4
60,4495,18854,30.4,73,11.3,27.8,21
78,4543,17692,30.4,77.9,5.7,22.2,19
26,1031,17688,30.5,69.1,8.3,29.6,19.9
94,7672,18722,30.5,81.8,7.1,21.7,21.9
94,11978,18642,30.5,80.8,6.9,22.5,20.9
39,698,17542,30.6,64,7.9,33.8,19.7
95,2789,18304,30.6,83.5,5.4,19.3,21.8
25,15475,18602,30.6,70.3,9.6,29.2,20.9
62,358,17112,30.7,69.1,7.2,28.6,20.3
28,1939,17284,30.7,66.2,5.4,33.1,21.1
91,2800,18500,30.7,78.5,5.6,24.6,21.5
89,4920,17998,30.7,65.5,9.8,33.3,19.6
59,13015,17738,30.7,67.7,8,31.6,20.7
83,20511,18492,30.7,64.5,10.3,33.2,21.3
83,790,17682,30.8,57.1,12.6,38.5,23.8
81,994,16792,30.8,50.6,8.9,44.6,20.2
07,1956,17562,30.8,60.1,10.6,35.6,20.1
28,1387,18228,30.9,70.4,7.2,28.7,22.2
33,1865,17764,30.9,72.9,5.6,26.2,20.5
45,14593,18906,30.9,74.5,9.2,26.7,21.3
